航班,始发地,目的地,经停,计划到达,航站楼,状态
3U8932,温州,成都,,1:40,T1,已于04:11到达
3U8916,青岛,成都,,1:40,T1,已于02:03到达
EU1808,长沙,成都,,1:45,T2,已于03:20到达
3U8758,三亚,成都,,1:55,T1,已于02:04到达
DD3140,普吉,成都,,2:00,T1,已于02:01到达
FD562,曼谷廊曼,成都,,2:00,T1,已于01:55到达
G52868,满洲里,成都,,2:05,T2,已于03:17到达
G52684,海口,成都,,2:10,T2,已于02:21到达
Z2010,卡利博,成都,,2:10,T1,已于02:14到达
OD618,哥打基纳巴卢,成都,,2:15,T1,已于02:43到达
3U8094,新加坡樟宜,成都,,2:20,T1,已于02:10到达
GJ8808,曼德勒,成都,,3:45,T1,已于01:52到达
3U8188,雅希尔柯伊（坦）,成都,,4:30,T1,已于03:54到达
QD738,金边,成都,,4:30,T1,已于04:15到达
CA430,悉尼,成都,,5:35,TM,已于11:38到达
3U608,罗马,成都,,5:50,T1,已于10:10到达
UA009,旧金山,成都,,5:55,TM,计划05:55到达
3U8910,奥克兰,成都,,6:00,T1,计划06:00到达
CA458,巴黎,成都,,6:00,TM,已于10:56到达
3U602,墨尔本,成都,,6:15,T1,已于09:21到达
HU470,洛杉矶,成都,,6:30,TM,已于09:04到达
Y87434,香港,成都,,6:45,T2,已于12:34到达
8L812,曼谷素万那普,成都,,7:10,T1,已于08:01到达
3U8380,西安,成都,,7:40,T1,已于11:24到达
3U8465,西昌,成都,,8:10,T1,已于09:02到达
3U8448,胡志明,成都,,8:50,T1,已于09:24到达
CA403,银川,成都,,8:55,T2,已于09:55到达
TV9804,拉萨,成都,,9:10,T2,已于08:55到达
CA4440,贵阳,成都,,9:10,T2,已于10:17到达
CA4216,稻城亚丁,成都,,9:25,T2,已于12:45到达
CZ3473,郑州,成都,,9:30,T2,已于09:40到达
MU527R,重庆,成都,,9:30,T2,已于13:41到达
9C8985,石家庄,成都,,9:45,T2,已于09:29到达
CA4008,邦达,成都,,10:10,T2,已于10:33到达
KN5215,北京南苑,成都,,10:20,T2,已于10:13到达
8L9569,,成都,,10:20,T2,计划10:20到达
MF8435,福州,成都,,10:25,T2,已于10:23到达
TV983Z,绵阳,成都,,10:30,T2,已于16:56到达
DZ6301,南通,成都,,10:35,T2,已于10:40到达
CA4416,大理,成都,,10:40,T2,已于13:36到达
CA4296,林芝,成都,,10:50,T2,已于12:47到达
3U8574,西双版纳,成都,,10:55,T1,已于14:26到达
RY6665,南昌,成都,,11:10,T2,已于12:51到达
8L9698,林蒗,成都,,11:15,T2,已于14:06到达
MU2217,西宁,成都,,11:40,T2,已于11:55到达
3U8906,扬州泰州,成都,,13:05,T1,已于15:50到达
3U8648,塞班,成都,,13:15,T1,已于14:56到达
CA4374,揭阳,成都,,13:20,T2,已于16:00到达
3U8038,康定,成都,,13:45,T1,计划13:45到达
PK896,伊斯兰堡,成都,,13:50,T2,已于14:01到达
TV9817,日喀则,成都,,14:30,T2,已于14:32到达
ET636,亚的斯亚贝巴,成都,,14:40,T1,已于14:36到达
NX198,澳门,成都,,14:40,T1,已于15:52到达
CA4160,库尔勒,成都,,15:10,T2,已于17:22到达
VN552,河内内拜,成都,,15:15,T1,已于15:18到达
3U8652,攀枝花,成都,,15:20,T1,已于15:09到达
CA424,伦敦希思罗,成都,,15:30,T1,已于15:20到达
G54301,常德,成都,,15:50,T2,已于15:40到达
CA4530,宁波,成都,,16:10,T2,已于18:43到达
CA438,加德满都,成都,,16:10,T1,已于16:51到达
3U8256,泉州,成都,,16:35,T1,已于17:36到达
3U8570,敦煌,成都,,17:05,T1,已于18:35到达
CA4184,运城,成都,,17:05,T2,已于20:03到达
3U8532,大同,成都,,17:10,T1,已于18:59到达
EU6674,舟山,成都,,17:20,T2,已于18:16到达
CA4278,东营,成都,,17:25,T2,已于19:12到达
CA4222,惠州,成都,,17:35,T2,已于18:36到达
MU5769,腾冲,成都,,17:35,T2,已于17:28到达
BR765,台北桃园,成都,,18:15,T1,已于18:17到达
MU5779,香格里拉,成都,,18:55,T2,已于18:52到达
CA4378,张家界,成都,,19:00,T2,已于20:40到达
CA416,缅甸仰光,成都,,19:05,TM,已于20:23到达
EY818,阿布扎比,成都,,19:40,T1,已于19:27到达
EU2788,衢州,成都,,20:05,T2,已于02:21到达
9C8526,素叻他尼,成都,,20:05,T1,已于20:10到达
CA1653,呼和浩特,成都,,20:10,T2,已于20:18到达
3U8156,吐鲁番交河机场,成都,,20:15,T1,已于20:42到达
CA4246,伊宁,成都,,20:30,T2,已于19:51到达
MU2458,台州,成都,,20:40,T2,已于21:22到达
MU2644,黄山,成都,,21:10,T2,已于21:01到达
3U8978,台北松山,成都,,21:15,T1,已于21:57到达
MU9698,锦州,成都,,21:35,T2,已于21:53到达
CA4242,喀什,成都,,21:35,T2,已于21:39到达
MU5038,济州,成都,,21:40,TM,已于21:10到达
CA4482,九寨黄龙,成都,,21:40,T2,计划21:40到达
EU2776,乌兰浩特,成都,,21:45,T2,已于21:50到达
CA462,大阪关西,成都,,22:05,T1,已于22:02到达
MU5654,烟台,成都,,22:20,T2,已于23:05到达
MU2413,兰州,成都,,22:20,T2,计划22:20到达
NH947,东京成田,成都,,22:25,T1,已于21:25到达
3U8748,海拉尔,成都,,22:25,T1,已于22:39到达
EU2272,张掖,成都,,22:30,T2,已于00:02到达
CA4038,和田,成都,,22:35,T2,已于23:56到达
D7326,吉隆坡,成都,,22:40,T1,已于22:48到达
3U106,固原,成都,,22:40,T1,计划22:40到达
MU2006,名古屋,成都,,23:25,TM,已于00:06到达
MU5729,保山,成都,,23:35,T2,已于23:03到达
CA4244,阿克苏温宿,成都,,23:50,T2,已于00:18到达
