航班,始发地,目的地,经停,计划到达,航站楼,状态
CA4502,上海虹桥,成都,,0:05,T2,已于23:23到达
ZH9411,深圳,成都,,0:05,T2,已于04:45到达
CA4118,北京,成都,,0:05,T2,已于01:05到达
3U8920,杭州,成都,,0:05,T1,已于02:56到达
ZH9490,太原,成都,,0:10,T2,已于03:11到达
CA4538,义乌,成都,,0:10,T2,已于01:01到达
EU2270,大连,成都,,0:15,T2,计划00:15到达
EU2716,北海,成都,,0:15,T2,计划00:15到达
3U8736,广州,成都,,0:20,T1,已于03:44到达
CA4536,上海浦东,成都,,0:20,T2,计划00:20到达
MU2230,合肥,成都,,0:25,T2,已于04:32到达
CA4154,乌鲁木齐,成都,,0:25,T2,已于01:27到达
3U8667,昆明,成都,,0:25,T1,已于03:00到达
3U8970,沈阳桃仙,成都,,0:30,T1,计划00:30到达
3U8996,无锡,成都,,0:30,T1,已于01:46到达
TV9878,长春,成都,,0:35,T2,计划00:35到达
3U899D,南京,成都,,0:35,T1,已于15:55到达
CA4238,湛江,成都,,0:40,T2,计划00:40到达
CA4588,武汉,成都,,0:45,T2,计划00:45到达
3U8770,营口,成都,,0:45,T1,已于01:03到达
TV9820,厦门,成都,,0:55,T2,已于01:35到达
CA4324,桂林,成都,,1:00,T2,计划01:00到达
EU2290,济南,成都,,1:05,T2,计划01:05到达
3U8862,天津,成都,,1:05,T1,已于02:38到达
MU2648,淮安涟水机场,成都,,1:10,T2,已于03:04到达
MU5506,榆林,成都,,1:15,T2,已于04:08到达
RU485,莫斯科,成都,,1:15,T2,已于01:10到达
EU2276,哈尔滨,成都,,1:20,T2,已于03:50到达
OZ3233,首尔仁川,成都,,1:20,T1,已于01:30到达
3U8712,常州,成都,,1:20,T1,已于02:26到达
EU2238,丽江,成都,,1:20,T2,已于02:31到达
CA4392,珠海,成都,,1:25,T2,已于01:18到达
EU2220,南宁,成都,,1:25,T2,已于01:43到达
VN718,芽庄金兰机场,成都,,1:30,T1,已于01:15到达
