航班,始发地,目的地,经停,计划到达,航站楼,状态
CZ6439,大连,成都,,12:20,T2,已于11:52到达
MU5403,上海浦东,成都,,12:25,T2,已于11:56到达
TV9848,林芝,成都,,12:25,T2,计划12:25到达
CA4590,常州,成都,,12:30,T2,已于13:03到达
CA4402,拉萨,成都,,12:35,T2,已于12:46到达
3U8698,拉萨,成都,,12:35,T1,已于12:15到达
KA886,香港,成都,,12:40,T1,已于12:18到达
MU5405,上海虹桥,成都,,12:40,T2,已于11:57到达
CA4252,林芝,成都,,12:45,T2,已于12:26到达
CA4522,合肥,成都,,12:45,T2,已于13:10到达
CZ8648,稻城亚丁,成都,,12:45,T2,已于12:21到达
CZ6401,沈阳桃仙,成都,,12:50,T2,已于12:58到达
TV9806,三亚,成都,,12:50,T2,已于12:28到达
KL891,阿姆斯特丹,成都,,12:50,T1,已于14:31到达
3U8061,乌鲁木齐,成都,,12:50,T1,已于19:30到达
3U8702,深圳,成都,,12:55,T1,已于12:32到达
MU9638,湛江,成都,,12:55,T2,已于13:07到达
ZH9565,南京,成都,,13:00,T2,已于12:52到达
HO1097,上海虹桥,成都,,13:00,T2,已于12:41到达
MU5777,大理,成都,,13:05,T2,已于14:12到达
CA1415,北京,成都,,13:05,T2,已于12:38到达
EU2236,广州,成都,,13:05,T2,已于13:01到达
3U8260,青岛,成都,,13:05,T1,已于12:34到达
3U8738,广州,成都,,13:10,T1,已于12:48到达
MU5845,昆明,成都,,13:10,T2,已于12:43到达
CZ6255,哈尔滨,成都,,13:10,T2,已于13:18到达
CZ6441,长春,成都,,13:15,T2,已于13:13到达
CA4592,上海浦东,成都,,13:15,T2,计划13:15到达
3U8010,九寨黄龙,成都,,13:15,T1,已于13:05到达
3U8774,南宁,成都,,13:20,T1,已于17:03到达
CA4374,揭阳,成都,,13:20,T2,已于13:08到达
CA4462,攀枝花,成都,,13:20,T2,已于12:56到达
CA460,东京成田,成都,,13:20,T1,已于12:36到达
8L9666,拉萨,成都,,13:45,T2,已于13:38到达
CZ6925,库尔勒,成都,,13:50,T2,已于13:29到达
EU2218,深圳,成都,,13:55,T2,已于13:34到达
3U8116,银川,成都,,13:55,T1,已于13:36到达
CA4512,青岛,成都,,14:00,T2,已于13:25到达
CA4306,广州,成都,,14:00,T2,已于14:21到达
ZH9403,深圳,成都,,14:00,T2,已于13:14到达
EU2210,沈阳桃仙,成都,,14:05,T2,已于14:19到达
CZ6183,北京,成都,,14:10,T2,已于14:00到达
3U8490,福州,成都,,14:10,T1,已于14:59到达
MF8441,厦门,成都,,14:15,T2,已于13:49到达
MU2252,杭州,成都,,14:20,T2,已于13:53到达
3U8895,西昌,成都,,14:20,T1,已于13:55到达
3U8924,南京,成都,,14:20,T1,已于14:09到达
3U8882,北京,成都,,14:20,T1,已于14:57到达
TV9817,日喀则,成都,,14:30,T2,已于13:46到达
MU5407,上海浦东,成都,,14:30,T2,已于13:41到达
CZ3471,郑州,成都,,14:35,T2,已于14:23到达
HU7085,海口,成都,,14:35,T2,已于14:03到达
CA4463,成都,成都,,14:40,T2,已于14:36到达
BK2851,天津,成都,,14:45,T2,已于14:27到达
CA4338,深圳,成都,,14:45,T2,已于14:25到达
CZ3443,广州,成都,,14:45,T2,已于15:25到达
HU7095,三亚,成都,,14:55,T2,已于14:14到达
3U8870,厦门,成都,,14:55,T1,已于14:39到达
QR860,多哈,成都,,14:55,T1,已于15:13到达
TG618,曼谷素万那普,成都,,15:00,T1,已于14:42到达
NX198,澳门,成都,,15:00,T1,已于14:44到达
3U8651,成都,成都,,15:00,T1,已于14:49到达
MU5826,拉萨,成都,,15:00,T2,已于14:38到达
CA4414,昆明,成都,,15:05,T2,已于14:29到达
CA4160,库尔勒,成都,,15:10,T2,已于14:17到达
CA1963,温州,成都,,15:10,T2,已于14:34到达
3U8962,上海浦东,成都,,15:15,T1,已于14:51到达
3U8636,沈阳桃仙,成都,,15:15,T1,已于15:48到达
CA4504,上海浦东,成都,,15:15,T2,已于15:22到达
CZ3453,深圳,成都,,15:20,T2,已于14:55到达
CA4152,乌鲁木齐,成都,,15:20,T2,已于15:03到达
CA4114,北京,成都,,15:20,T2,已于14:47到达
CA4308,广州,成都,,15:30,T2,已于15:50到达
ZH9405,深圳,成都,,15:35,T2,已于15:05到达
MU2219,上海虹桥,成都,,15:35,T2,已于15:07到达
MU5322,广州,成都,,15:40,T2,已于18:16到达
MU5419,上海浦东,成都,,15:40,T2,已于15:01到达
ZH9445,广州,成都,,15:45,T2,已于15:34到达
JD5109,青岛,成都,,15:45,T2,已于15:37到达
MU2651,武汉,成都,,15:50,T2,已于15:27到达
G52725,重庆,成都,,15:50,T2,已于15:17到达
EU2234,珠海,成都,,15:50,T2,已于15:19到达
8L9628,拉萨,成都,,15:50,T2,已于15:09到达
3U8628,无锡,成都,,15:55,T1,已于15:11到达
8L961T,济南,成都,,15:55,T2,已于15:57到达
CA4406,拉萨,成都,,16:05,T2,已于15:30到达
CA4530,宁波,成都,,16:10,T2,已于15:46到达
CA4178,哈尔滨,成都,,16:10,T2,已于16:03到达
MU5500,杭州,成都,,16:10,T2,已于15:59到达
3U8288,清莱,成都,,16:10,T1,已于15:15到达
CA4198,北京,成都,,16:15,T2,已于15:41到达
3U8670,石家庄,成都,,16:15,T1,已于15:39到达
CA4046,长春,成都,,16:15,T2,已于16:07到达
