航班,始发地,目的地,经停,计划到达,航站楼,状态
CA418,台北桃园,成都,,23:25,T1,计划23:25到达
CA4390,深圳,成都,,23:25,T2,计划23:25到达
CA4528,济南,成都,,23:25,T2,计划23:25到达
MF8684,宿务,成都,,23:30,T1,计划23:30到达
3U8904,首尔仁川,成都,,23:30,T1,计划23:30到达
MU2825,南京,成都,,23:35,T2,计划23:35到达
MU5729,保山,成都,,23:35,T2,计划23:35到达
TV9854,拉萨,成都,,23:40,T2,计划23:40到达
CA4514,上海浦东,成都,,23:40,T2,计划23:40到达
3U8890,北京,成都,,23:40,T1,计划23:40到达
3U8988,西宁,成都,,23:45,T1,计划23:45到达
HX452,香港,成都,,23:45,T1,计划23:45到达
MU5415,上海虹桥,成都,,23:45,T2,计划23:45到达
3U8088,大阪关西,成都,,23:45,T1,计划23:45到达
TV9830,兰州,成都,,23:50,T2,计划23:50到达
ZH9474,南昌,成都,,23:50,T2,计划23:50到达
CA4328,南宁,成都,,23:50,T2,计划23:50到达
8L9616,济南,成都,,23:50,T2,计划23:50到达
3U8986,南通,成都,,23:55,T1,计划23:55到达
