航班,始发地,目的地,经停,计划到达,航站楼,状态
EU2220,南宁,成都,,1:25,T2,已于01:14到达
CA4534,杭州,成都,,1:25,T2,已于01:44到达
TV6454,杭州,成都,,1:25,T2,已于01:44到达
ZH4534,杭州,成都,,1:25,T2,已于01:44到达
CA4140,哈尔滨,成都,,1:25,T2,已于02:20到达
TV6298,哈尔滨,成都,,1:25,T2,已于02:20到达
ZH4140,哈尔滨,成都,,1:25,T2,已于02:20到达
EU2282,哈尔滨,成都,,1:30,T2,已于03:59到达
CA4524,南京,成都,,1:30,T2,已于01:20到达
CA4392,珠海,成都,,1:30,T2,已于01:04到达
SC4392,珠海,成都,,1:30,T2,已于01:04到达
TV6402,珠海,成都,,1:30,T2,已于01:04到达
ZH4392,珠海,成都,,1:30,T2,已于01:04到达
MU2296,沈阳桃仙,成都,,1:35,T2,已于01:25到达
3U8714,合肥,成都,,1:35,T1,已于02:06到达
MU3940,合肥,成都,,1:35,T1,已于02:06到达
3U8722,郑州,成都,,1:40,T1,已于02:42到达
3U8932,温州,成都,,1:40,T1,已于01:37到达
MU3948,温州,成都,,1:40,T1,已于01:37到达
3U8916,青岛,成都,,1:40,T1,已于02:14到达
EU7058,青岛,成都,,1:40,T1,已于02:14到达
SC7042,青岛,成都,,1:40,T1,已于02:14到达
EU1808,长沙,成都,,1:45,T2,已于01:34到达
ZH9163,北京,成都,,1:45,T2,已于01:46到达
CA3463,北京,成都,,1:45,T2,已于01:46到达
3U8842,乌鲁木齐,成都,,1:50,T1,已于03:28到达
CZ9630,乌鲁木齐,成都,,1:50,T1,已于03:28到达
EU7052,乌鲁木齐,成都,,1:50,T1,已于03:28到达
3U8844,哈尔滨,成都,,1:50,T1,已于02:50到达
CZ9632,哈尔滨,成都,,1:50,T1,已于02:50到达
MU3960,哈尔滨,成都,,1:50,T1,已于02:50到达
SC7036,哈尔滨,成都,,1:50,T1,已于02:50到达
ZH3506,哈尔滨,成都,,1:50,T1,已于02:50到达
3U8230,文山,成都,,1:50,T1,已于01:13到达
CA4376,三亚,成都,,1:50,T2,已于01:54到达
ZH4376,三亚,成都,,1:50,T2,已于01:54到达
3U8758,三亚,成都,,1:55,T1,已于01:33到达
3U8548,北京,成都,,1:55,T1,计划01:55到达
CZ4948,北京,成都,,1:55,T1,计划01:55到达
3U8894,北京,成都,,1:55,T1,已于02:08到达
CZ9656,北京,成都,,1:55,T1,已于02:08到达
