	log2FoldChange
100307043	-2.769122441
100913167	-2.170374086
101110817	1.205825728
101102300	-1.651329007
101123232	0.854401495
101116072	1.195186631
101111757	1.903147521
114116626	1.901526244
101122314	-3.651136491
101102864	0.761513828
101110040	-1.240638151
101115815	-0.929467801
114110670	1.521924839
101108821	-0.977771067
105616619	-2.289722362
105613214	-2.887050143
100192430	-0.957954448
101115840	-1.313721791
101104022	-1.527299864
101111623	1.061144919
101115919	2.745522791
101118986	3.170080003
101103762	1.257794131
101118982	1.378944479
101120808	-1.338626915
443089	2.024520754
101113759	-4.042645921
105610620	-2.130463091
100127208	-1.139791677
101122654	-1.099127717
101102089	-1.742161535
101104075	-1.473855973
101109533	1.915413584
101109460	1.019404786
114114999	-2.105411432
101115072	-1.500757913
101116841	-3.130608384
101102993	1.165060004
101116444	-0.779591529
101115611	-0.912703102
101104900	1.388239644
101113233	0.843937434
101114579	-1.526806225
105605487	-0.888639312
101117554	3.181638392
114116930	-2.402520053
101108712	-0.87499418
101115862	-1.836053996
100217409	1.494647775
101102316	1.93012882
101104083	-2.635206725
101122555	-1.352647112
101120791	0.713036497
101112268	1.430629881
114112545	4.347400952
101104352	1.706806847
101123327	-0.964146442
101108384	0.793362726
101111515	-1.986163735
100302304	0.915479579
101116901	1.064153685
443250	2.313887351
105612764	4.623861605
101106537	1.396184231
101110089	3.716646243
101111380	-2.018924284
101104335	1.246319406
101113484	3.534663396
101123332	-2.050234344
101103115	-0.863109322
101111428	1.400807143
101120749	1.730760897
101109470	-0.859586632
101119838	0.902320682
101115982	-1.68840122
101113988	0.851224262
101110813	-1.42461789
101113056	-1.584856977
101106699	-1.077832503
114110120	-2.034523153
101111009	0.570628096
101104604	0.7698882
101107057	1.351216314
101109526	-1.16917942
101118234	3.514283992
101102897	-2.264099845
101110165	0.61048059
101118159	-2.83922743
114111500	-2.652149664
101104233	-0.987209728
100294595	2.755519957
101106812	0.901328727
101107048	1.468921518
101114874	-1.069852854
101111033	1.030538902
101108850	-2.150100712
101121152	-1.996870483
443192	-2.440607858
101103276	1.172809062
101114606	0.827041266
101106360	2.009708408
101115654	2.867743416
101120002	4.881051443
101113985	-1.004110044
105610309	-1.489568487
101115830	2.916152225
101117295	-2.023903599
101103355	3.1920454
101115142	1.735759893
101105210	-2.48837773
101119314	1.154189991
101110191	-1.19549162
101112965	0.704963021
101105944	-1.75129801
101116804	1.262360852
101110117	-1.384183512
101109945	1.555047707
101118423	-1.179371252
101118550	1.876172492
101122986	0.959824818
101113829	2.394264014
101120732	-4.516099936
114111650	2.738020281
105607675	1.919120777
101107588	-4.907055945
101102245	1.694314426
101102320	0.974277203
114114521	-2.104485509
101115630	-1.783082943
101118140	1.277091812
101121773	-4.765800696
101106885	1.584873157
114113956	2.391356345
101112915	0.951091435
101105527	-4.348702469
101107535	0.775783088
101112025	-1.104627718
105604496	3.074343625
101116384	1.21016829
101106545	1.332476746
101120090	-3.433420074
101111375	-3.258930666
101111840	0.675665433
101113764	2.346136411
101106116	-3.227615437
105605573	-1.479604502
101111222	-3.013314181
114115652	7.75732501
101116876	3.111873333
101121899	-1.222319214
101104737	-1.20030666
101103174	-1.46736995
101112633	1.338407542
101108323	-1.380337675
101109650	-0.898873227
101121054	1.51664709
101111705	1.378327696
101103324	1.18565383
101114931	1.145776765
101102052	3.271365774
100528012	0.985416158
101109816	-2.064196399
101114027	2.10944184
100271659	0.955270453
101114145	1.006110209
101115165	-1.982373918
101116191	-1.622497057
100307046	0.751177842
101120979	-3.336371882
101111255	-1.295457029
101107657	-0.903564929
101111597	-0.95711395
101123372	2.459711152
101105923	1.901740205
101111075	0.964616676
101105778	1.103717969
101115920	-1.414189148
101115826	-2.310180145
101102470	0.810504448
114117969	1.973746729
101105577	-1.417356316
101111161	-1.118050414
101121370	-0.901012683
101107841	-3.2609215
101111070	0.98370989
101112455	-2.018925858
105613386	-2.72217349
101106005	-1.06603096
101116079	-1.357018408
101123490	-1.786949605
101103125	0.84656517
105609280	-2.465117804
101118487	2.136074921
101117608	0.755470046
101113976	1.820788797
101103047	-0.855347051
101116587	-3.728289244
101111442	2.352093149
101111724	-1.324601819
101104839	-1.059116351
101112408	1.054995031
101104181	0.724245829
101111855	-0.663711463
101108933	0.816749934
101104306	1.779557203
101120456	1.398734487
101112220	1.33051878
101108431	1.822827177
101112262	0.566581679
101108001	-1.673934445
101118013	-1.919014083
101119665	-1.390268144
101107046	-1.736672117
101102792	0.609994175
101107377	1.883333304
101111044	1.856567014
100048991	-3.374948409
101113630	-1.339330078
105611015	-2.594573056
101108508	-1.893620701
443063	1.560609163
101115370	0.882671681
101121718	1.510010815
101111731	1.703443546
101115521	1.451495144
101118540	-2.803139516
114113857	-1.369839926
114115629	2.582383859
101121023	-1.406012302
101120307	1.252416261
101117209	0.857932989
101121289	-1.275123449
101111761	-3.540743968
101115125	-1.55570086
101116947	2.613290108
101114229	0.908920272
101103204	1.055449856
101114625	0.670968186
101106661	-1.181562853
101123145	-1.226049813
101103490	-1.523905584
100145875	1.986969655
101122581	-1.36061369
101103552	0.74970115
101116722	-1.142797014
101122152	-1.458818873
100145861	0.644580522
101103584	-2.4508386
105614720	-1.656338594
101118881	-0.869580426
101108139	-0.640601393
101103930	-1.652800845
114108779	1.382369422
101103998	-1.991843528
101112064	1.458860597
101111733	-1.285938211
101107105	0.808063251
101110211	-1.284496514
101118337	2.543437149
101121738	0.804249064
101114818	-0.929352343
101117447	-4.606920477
101118558	-3.724357854
101110591	1.221935864
101105541	1.189513878
101107055	0.619295644
100302067	0.663095408
101120302	-1.756305214
101109411	-0.978388263
101118565	1.797544238
101122758	0.707952461
101120252	-0.687261442
101122315	-3.283261877
101116033	0.870859302
101110763	-1.174177128
101121881	-0.868933181
101116569	-1.390756006
101122149	-0.77809222
101118671	1.599164727
101103598	0.999681645
101112972	0.910366951
101112576	-1.001166297
101108335	1.178518268
101105789	1.156666874
101118777	-1.4448156
105612104	-1.606953192
101116615	0.832120982
101117488	-1.862179429
101113891	-3.904517463
101114868	0.756978582
101115343	-2.155343818
114115633	-2.150595311
101112021	-1.641826904
105616533	-2.591327808
101120620	0.870338653
101116414	1.458720954
101105676	-3.156498793
101107299	-0.932930634
101120033	0.900991456
101109163	0.870724667
101119213	-0.92711894
101116625	1.227735519
443045	1.179601823
105606890	2.370978337
101123584	-1.10115552
101106381	0.742124657
101106266	3.03281083
105603282	-1.24008809
101123377	0.819934758
101112006	-1.616748063
101119158	1.65363974
101104626	-2.295596194
101112841	-3.765501137
101119061	0.897242366
443308	1.201213997
101117755	0.886916148
101107489	0.946651579
114110279	1.112671097
105602763	-1.626362503
101106863	-1.335844017
101102025	0.959109832
101108015	-1.113807781
105608446	-1.952630728
101107953	3.440143388
443305	1.928334752
101119505	-3.336813621
101105363	1.648882988
443544	-1.43707097
105606002	-1.219167561
101108718	2.090593191
101121189	0.782696081
101106601	1.791610009
101117946	-3.734836678
101119946	-0.65434652
101102501	1.242229359
114108625	-2.801233583
101115715	-0.998148261
101111411	2.815496743
101102136	1.429039852
101104487	-0.888389329
105606089	-1.657691112
101115599	-1.452480372
101112600	-1.472260405
101118802	-1.071994792
101120021	1.814378895
101119093	1.461970419
101103349	-1.133399391
101115776	0.964419518
101121651	0.876413635
101120102	-0.957963112
101109551	0.546994427
101101880	1.138315714
101111336	-1.367620218
101116624	1.036951624
101115082	1.128003818
443513	-1.704826204
101113156	2.360745782
101122609	0.711930623
114109660	-3.441589973
443451	0.726386446
100048993	1.120515912
105601941	1.278867394
105615773	-1.279141695
105601858	1.351961254
101109216	-1.242674529
101117833	-1.031221455
101105108	1.671124093
101105779	0.856260375
101104619	4.622514008
443452	1.988641874
101121179	-0.686273003
101120958	-2.717579788
101117601	-0.864382073
100158235	1.659168823
443286	1.353994546
101115017	1.603499099
114118890	-3.775591693
101112103	-1.299335354
101114505	-1.76618862
101117123	-1.50152938
114113689	-3.34023671
101115026	-2.449307972
101106288	-1.231141965
101114825	0.740979742
101122709	-0.949664655
101110463	-2.14932757
114118092	2.723383375
101104588	-1.061120423
101108469	0.856465228
101104442	1.483973017
101110415	4.899057988
101103905	1.826586997
101109674	0.82317231
101111156	0.60530406
105603869	1.224278788
101115465	1.144511366
101115317	1.939429922
101107698	1.078106608
101117854	-1.236637163
101105337	-1.601572364
101115686	0.780993927
101115800	1.266541771
101123418	1.114328494
101109828	-2.103857983
780454	0.968763046
101119558	1.090437275
101109546	0.949218408
101106279	-0.637405595
105601985	-1.578561452
101110421	1.015246498
101101941	-0.889481787
101103814	0.892386775
101105767	-0.907183428
101112625	-1.280355401
101102701	0.904303167
114116681	-2.442908681
101103496	-1.713272313
101105193	-2.370471714
101119578	1.158172887
101119091	0.891547628
101106429	1.846271889
101113507	0.827759565
101114880	-1.24925761
101111470	-0.929668899
101113549	1.247952585
101122119	-2.008050017
101103348	-2.294611153
101102782	1.142896911
101113341	2.21584876
101113537	-2.087308618
101114752	-1.036131314
101111626	-1.026023658
101116487	2.054692276
101117860	1.899189291
101103008	0.839706559
101113530	1.739266631
101111284	1.762408228
101123513	0.927904921
101114307	1.148833875
114114836	-1.773101669
494441	1.402569439
101113836	1.647367355
101107022	0.776420359
101108764	2.514815795
101112287	-2.334255159
101108206	1.404353316
101103054	2.143357048
101101898	0.730150978
102099064	2.414547849
101106554	1.503832407
101101977	1.318884262
101115905	-2.201705799
114114909	0.887111297
101115548	0.963580204
101103572	-0.90439015
101103793	1.710209424
101105220	0.852183367
106990433	1.028307857
101110163	0.72911432
101113317	-0.793955345
105608442	-1.750559982
100302339	-2.433571835
101104179	-5.595874782
101111700	-1.057755134
101116128	-2.764136631
101120942	-1.670291428
101110581	-0.855121387
101116934	-2.242336377
101120388	0.642023473
678676	0.659950853
101120679	-0.936439194
101113641	7.501435641
101119755	-0.953385494
101104821	1.469477133
101109620	0.770256423
101104587	1.239469949
101118224	2.660979315
101122455	0.496310855
101114574	-1.494826848
114113062	1.885541899
101104160	0.915333556
101122697	-0.980102711
114113971	-1.077981842
101120452	-1.369749593
101104566	0.891993938
101121051	0.969919407
101114765	0.905867059
101107353	-1.352397458
101113590	1.577761903
101106911	1.750303825
101118334	1.231370217
101112113	-0.952399697
101105084	1.095349117
101121280	1.322256592
101107491	0.817953987
101117549	0.690974447
101115297	-1.079746718
101120532	0.899706535
101120391	1.786244749
101122242	-1.147512235
101105429	-1.122668459
101120170	0.674625412
101120784	0.636295222
101117042	1.184783037
101122883	0.932804542
101111257	-1.082801021
101123285	-0.862486019
101117103	1.469919958
101102267	-2.545608946
101112282	-0.963552339
101103193	0.832605909
101113149	1.150746672
101105938	0.978322751
101114633	1.088784628
101121638	2.010753872
101117930	1.321085129
101112788	1.073475868
101120491	0.935971627
101109033	1.040284983
101115646	2.502781828
101121014	0.83139025
101108923	-1.094997052
443427	5.464358882
101121312	1.054019116
100302078	0.638547245
101102430	2.654070428
101110639	-1.536595296
100135438	1.014600801
101107769	1.82517293
101107831	-2.93214978
101109234	0.774482393
101110430	-2.22140603
101114306	1.164373689
101107070	-1.827994542
101107141	-2.578184916
101105580	-5.13426974
101108553	-1.123977024
101110768	1.004710654
101120812	1.203241975
443062	0.969641321
105603529	-1.941177246
101108975	-1.872254976
101102457	-0.661915326
114118232	1.343921412
101112550	0.631132396
114116870	2.044825058
101121697	-1.197343024
101116204	1.786680004
100037686	0.68119436
101114314	-2.880263425
101107150	0.918077672
101102606	-1.21488202
443088	0.910237799
101111728	-1.128111568
101109323	-1.119988674
101110783	-1.478444051
101121655	-1.440326937
101105679	-0.767355198
106991621	1.858388812
101122084	-2.944687796
101103565	0.828471704
101106897	-1.257777944
101115001	1.70332438
101102861	1.257090968
101106213	-0.668184411
101117651	-3.540507742
101107683	-5.331878318
101107646	-1.255893003
101110393	-1.917927001
101110190	0.91199474
101106343	1.199901233
101112759	-0.771401939
101110518	0.726183692
105613553	-0.959544681
101103583	1.120598473
101105249	-2.221549684
105605702	1.051986099
101110960	-1.281037434
101118990	-2.67750503
101102483	0.734064756
101110455	-1.333876822
101107087	-2.002753972
101118101	-0.744865213
105601873	1.177790215
101120651	-2.079688386
101120146	0.704373511
101118936	2.063743029
101117786	1.176383238
101103139	0.841419673
106991367	-1.158799087
101122182	1.062937764
101105909	0.993921464
101113519	-1.688951527
101109215	-1.257815327
100192315	1.06878527
101109137	-0.967560534
101116599	1.316541487
105607318	-5.793464258
101106534	1.78026107
101123542	0.99951424
101118806	-2.763087038
101115601	-2.341568423
101108314	1.280072459
101113542	1.388388278
780482	-1.308331488
105603235	-0.859878578
101111862	1.290690277
101121866	-1.541402943
101118547	1.271824194
101103535	1.266291275
101115764	-0.688824692
101122735	0.653517275
114111683	-0.884549094
100145862	-0.640521813
101103609	1.612813087
101104535	-0.963328769
101112348	2.481823584
101102010	-1.005834448
101112527	-4.822580514
105610628	-3.08888268
101110161	-2.944431616
101123312	-1.134557876
101107662	2.950797286
114109063	1.583079368
114114495	-1.654567983
101102849	0.92796334
101110315	0.648305166
101122460	0.819648996
101113899	0.871601178
101107095	-1.114795986
101120715	-1.371669221
101113813	0.87977599
101106743	0.893795378
101107401	-1.659128482
114116361	1.825667503
101122683	4.225228804
101109714	-2.753981429
101122740	-1.088573009
101123640	1.130487806
101115379	-1.739919674
443439	1.09159874
101117835	1.091181684
101102072	0.967974056
101121995	1.432407817
101111103	-2.193702764
114116389	-1.884317829
100302501	1.315173309
101115930	-3.817444712
101114856	-1.684716462
101111975	0.945527246
101114037	-0.926674722
100820743	-1.613933618
101104715	0.79199716
101115193	1.065207143
101109937	-1.47768206
101109503	-2.640550763
101108981	-1.08901789
101116091	5.407925346
101116556	-0.798597534
101114875	-1.085158069
101110465	3.468048307
100307038	-1.316415939
101113705	-1.801496667
105608579	-2.185816661
101107269	1.182212036
101101908	-1.089473788
101119420	0.640344751
101116819	-0.638587344
101110180	3.624960089
101113214	-1.269514426
105611720	-1.433314339
101118947	-1.906082654
101112310	1.272205704
101119556	-0.675088493
101118997	0.803300244
101120152	0.610055795
100846985	-0.671143461
105608245	-1.181732322
101113485	1.592019354
101104760	-1.47095191
101112800	-1.548407384
101105300	-4.49136821
101116854	-1.009067117
101108456	-0.839174372
101123517	0.790927097
101115323	1.077291064
100188913	0.557897666
101108491	-0.941150258
101108409	-1.700349612
101114460	0.688486586
101116694	-0.635132174
101112980	0.923392678
101103122	-2.499854601
101110653	1.021865806
101112484	-0.814499109
105601860	-0.584969177
101105615	-1.128703749
101113026	1.740928952
101104033	1.11848717
101110423	0.752458477
101110535	-1.192194589
101121206	-1.443382757
105604619	-1.113285864
101109887	0.775264684
101117211	0.862700176
101106839	1.019626173
101115479	-1.239352116
101105711	1.079077334
101113897	1.032816917
106990092	1.852831457
101123051	1.566318863
100462658	-6.458599759
101111207	-1.321764012
101112877	2.299774559
101121760	0.866472769
101112346	0.964721001
101120207	-1.917363854
101116785	1.050903674
101121405	0.64693491
101108119	1.007068037
101109421	-0.978895985
101112799	-0.964594525
101115978	1.324079521
101122798	-1.014123084
101106421	1.46798943
101113842	-1.234980487
100885762	1.527187978
101108864	1.386265655
101115253	-2.42988285
101103166	-0.588808641
105607598	1.836808477
443135	3.018973014
101106560	-1.098669709
100233239	-0.90592268
101105605	-2.003570538
101122526	0.924637894
101115070	1.564700768
114113739	2.674012865
101120267	-1.297557361
101107710	-1.351653839
101119567	0.622469702
101116572	1.003865552
101118330	0.936407581
101115762	1.195003688
101102809	0.599055795
101120685	-2.097509613
101117422	1.593390596
101111898	-0.844316585
101115401	0.709648216
105607860	-1.876379359
105611550	-0.933649108
105602964	-1.726130588
101105472	0.505751159
101111060	2.124932467
101117094	2.050689285
101110493	-1.197800878
101118358	1.811733498
101112523	0.61064855
101115780	1.262548761
101108761	1.159790461
101112110	0.564034649
101107916	1.150171292
101117741	0.534410253
493773	3.445427419
101107140	-2.790839543
101104576	-1.360009417
101116010	-2.773807235
101112138	0.613319714
101104204	-1.25709389
100500777	0.802483242
554261	-1.226770893
780519	-0.969197062
101105417	2.8386752
105604888	-1.76893077
101119354	-0.653498477
101108631	-0.735911612
101108403	-1.572694977
101106822	-1.499696644
101111443	1.599028248
101118626	0.889888364
101103941	1.309800031
101101860	-1.292298392
101119669	0.647804919
101104355	0.652723618
101118814	0.959428643
101110749	0.603913746
101105242	0.75020027
101102155	1.236317267
101102073	2.18384673
101107808	-1.07305856
101115877	3.089665903
101120283	1.076606601
101102373	0.914233008
101111683	1.183896459
101122979	1.343966214
101109748	1.677242445
101118353	1.001037106
101107798	0.786693258
101105718	0.561859357
101105381	-0.829360078
101110918	-0.767289191
101112042	0.710043758
101123350	0.751074717
101120766	1.373005187
101120016	-1.549868716
101117152	-2.267914763
100505405	0.793298071
101116247	0.984806856
100137069	1.454315146
101122294	2.071912738
443299	-2.334022976
101121828	1.563331802
101111450	1.186989001
101115211	1.196242794
101107516	2.355700117
114108727	-2.722464823
101106591	0.661379681
101103001	-0.838225561
